kaikki_sense_id	wordnet_sensekey	method	evidence	provenance
en-bear-en-verb-en:convey1	wear%2:29:04::	LINK:judge-v2	Sd:hyp=feature+judge-v2:idx16:3/3:wear%2:29:04::+provisional_consensus	judge-v2:judge_verdicts_v0_7.json:idx16+judge-ops-v0.8:REPORT_v0_8-JOB5:provisional_consensus
en-bear-en-verb-en:convey1	wear%2:29:04::	LINK:judge-v2	Sb:wear+judge-v2:idx22:3/3:wear%2:29:04::	judge-v2:judge_verdicts_v0_7.json:idx22
en-bear-en-verb-en:convey1	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey1	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey1	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey1	hold%2:35:02::	LINK:judge-v2	Sb:hold+judge-v2:idx20:3/3:hold%2:35:02::	judge-v2:judge_verdicts_v0_7.json:idx20
en-bear-en-verb-en:convey1	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey1	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey1	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:convey1	deport%2:41:02::	LINK:2-sig	Sa:j=0.20+Sb:behave,conduct+Se:0.429	linker-v0.6:link_table_v0_7.tsv
en-bear-en-verb-en:convey1	hold%2:35:02::	LINK:judge-v2	Sb:hold+judge-v2:idx20:3/3:hold%2:35:02::	judge-v2:judge_verdicts_v0_7.json:idx20
en-bear-en-verb-en:support	hold%2:35:02::	LINK:2-sig	Sa:j=0.40+Sb:hold+Se:0.526	linker-v0.6:link_table_v0_7.tsv
en-bear-en-verb-en:endure	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-o9h5PvoB	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-gq0aOjt3	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-t80RRuJj	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-z9t7vMgw	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-6M-y8cjF	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-ew7aDLrQ	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-5JUY5WuX	-	MANUAL-NONE	owner-locked:manual-NONE+judge-agrees:P1-NONE-3/3:P2-NONE-3/3+was-PENDING:take_over%2:40:06::	owner-manual:integrate_v0_7.py
en-bear-en-verb-Zx3ALBA4	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-bear-en-verb-en:give_birth	have%2:29:00::	LINK:2-sig	Sb:birth,give+Sd:hyp=produce+Se:0.446	linker-v0.6:link_table_v0_7.tsv
en-bear-en-verb-0xhG38Eu	-	MANUAL-NONE	owner-locked:crops-fruit-neq-birth+future-note:fruit-yield-synset-absent-from-6pack+was-LINK:have%2:29:00::	owner-manual:integrate_v0_7.py
en-bear-en-verb-Sw~3XEfR	tolerate%2:31:00::	twin-pending	best-cand-twinned;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-spring-en-verb-ufhTbqMO	spring%2:38:01::	LINK:2-sig	Sb:bound,jump,leap+Sd:hyp=move+Se:0.677	linker-v0.6:link_table_v0_7.tsv
en-spring-en-verb-~rvoC~V8	spring%2:38:01::	LINK:judge-v2	short-gloss:Sa:j=0.33+Sb:leap+judge-v2:idx13:1/1-single:spring%2:38:01::	judge-v2:judge_verdicts_v0_7.json:idx13
en-spring-en-noun-rDVjbqoQ	spring%1:04:00::	LINK:2-sig	Sb:leap+Sd:hyp=jump+Se:0.734	linker-v0.6:link_table_v0_7.tsv
en-spring-en-noun-en:Q1312	springtime%1:28:00::	LINK:2-sig	Sb:springtime+Sd:hyp=season+Se:0.679	linker-v0.6:link_table_v0_7.tsv
en-spring-en-noun-en:Q13121	springtime%1:28:00::	LINK:2-sig	Sb:springtime+Sd:hyp=season+Se:0.658	linker-v0.6:link_table_v0_7.tsv
en-spring-en-noun-en:Q13121	springtime%1:28:00::	LINK:2-sig	Sb:springtime+Sd:hyp=season+Se:0.669	linker-v0.6:link_table_v0_7.tsv
en-spring-en-noun-xlcEDbAd	springiness%1:07:00::	LINK:2-sig	Sb:springiness+Sd:hyp=elasticity+Se:0.673	linker-v0.6:link_table_v0_7.tsv
en-check-en-noun-en:Q80042	cheque%1:21:00::	LINK:2-sig	Sa:j=0.44+Sb:bank,cheque+Se:0.781	linker-v0.6:link_table_v0_7.tsv
en-check-en-noun-en:bill_especially_restaurant_bill	tab%1:10:00::	LINK:2-sig	Sa:j=0.67+Sd:hyp=bill+Se:0.719	linker-v0.6:link_table_v0_7.tsv
en-check-en-verb-9XgsE9eS	check%2:38:15::	LINK:2-sig	Sa:j=0.20+Sd:hyp=stop+Se:0.494	linker-v0.6:link_table_v0_7.tsv
en-check-en-verb-8evlMvuO	tick_off%2:31:00::	LINK:2-sig	Sa:j=0.40+Sb:mark+Se:0.569	linker-v0.6:link_table_v0_7.tsv
TSV:call%2:31:05::	call%2:31:05::	twin-pending	inventory;tsv-cefr=B1,B2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:call%2:32:00::	call%2:32:00::	twin-pending	inventory;tsv-cefr=B1,B2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:check%2:31:00::	check%2:31:00::	twin-pending	inventory;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:check%2:31:12::	check%2:31:12::	twin-pending	inventory;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:check%2:32:10::	check%2:32:10::	twin-pending	inventory;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:check%2:41:04::	check%2:41:04::	twin-pending	inventory;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:lead%2:42:01::	lead%2:42:01::	twin-pending	inventory;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:lie%2:38:00::	lie%2:38:00::	twin-pending	inventory;tsv-cefr=A2,B1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:present%2:39:00::	present%2:39:00::	twin-pending	inventory;tsv-cefr=B2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:run%2:30:07::	run%2:30:07::	twin-pending	inventory;tsv-cefr=B2,C1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:run%2:35:04::	run%2:35:04::	twin-pending	inventory;tsv-cefr=B2,C1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:run%2:41:00::	run%2:41:00::	twin-pending	inventory;tsv-cefr=B2,C1	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
TSV:take%2:42:00::	take%2:42:00::	twin-pending	inventory;tsv-cefr=A2,C2	linker-v0.6:twin-suppress+wordnet_sensekey_cefr.tsv
en-run-en-noun-lQEeVMDo	streak%1:14:00::	LINK:manual-override	pass-2-LINK:streak%1:14:00::+was-LINK:run%1:28:00::+was-evidence:Sa:j=0.25+Sd:hyp=period+Se:0.633	manual-override:REPORT_v0_7-pass2:streak+was-LINK:run%1:28:00::
